[#15][#6:1](=[#8])[OH] 2 0.03373
[#6:1](=[#8])[OH] 2 0.03373
[#6:1](=[#8])[#7][#7] 2 0.03373
[#6:1](=[#8])[F,Cl,Br,I] 3 0.03630
[#6][#6:1](=[#8])[#6]n 2 0.03373
[#6][#6:1](=[#8])[#6](=[#8]) 3 0.03630
[#6][#6:1](=[#8])[#6] 2 0.03373
[CH:1]=[#8] 3 0.03630
[#6:1](=[#16]([#16])[#16]) 2 0.03373
[#6]=[#6:1]([#7H0])[#8][#6] 3 0.03630
[#6]=[#6:1]([#7])[#8][#6] 4 0.04184
[#6]=[#6:1]([#16])[#8][#6] 3 0.03630
[#16][#6]=[#6:1]([#6]=[#7,#8])[#8][#6] 4 0.04184
[#16][#6]=[#6:1]([#6])[#8][#6] 4 0.04184
[#7,#8][#6]([#7,#8])=[#6:1]([#6])[#8][#6]=[#8] 4 0.04184
[#7,#8][#6]([#7,#8])=[#6:1]([#6])[#8][#6] 4 0.04184
[#6]=[#6:1]([#6])[#8][#6] 5 0.04450
[#8][#6]=[#6:1][#8][#6] 4 0.04184
[#16][#6]=[#6:1][#8][#6] 4 0.04184
[#7][#6]=[#6:1][#8][#6] 4 0.04184
[#6]=[#6:1][#8][#6] 4 0.04184
[#7][CH3:1] 4 0.04184
[#8][CH3:1] 2 0.03373
[CH3:1][#16]=[#7,#8] 1 0.02929
[S+][CH3:1] 2 0.03373
[#7][#6:1]([#7,#8])=[#7][#7] 4 0.04184
[#6]([#8,#7])[#6H1:1]=[#7][#7] 3 0.03630
[#7,#8]=[#6]([#8,#7])[#6:1]([#6H1])=[#7][#7] 4 0.04184
[#7,#8]=[#6]([#8,#7])[#6:1]([#6]~[#16])=[#7][#7] 5 0.04450
[#7,#8]=[#6]([#8,#7])[#6:1]([#6]~[!#6&!#1])=[#7][#7] 4 0.04184
[#8]=[#6][#6:1]([#6]=[#8])=[#7][#7] 4 0.04184
[#6H1:1]=[#7][#7] 5 0.04450
c[#6:1]=[#7][#7] 5 0.04450
[#8,#9]~[#6][#6:1]=[#7][#7] 4 0.04184
[#16]~[#6][#6:1]=[#7][#7] 4 0.04184
[#6H2:1]=[#7][#7H1] 4 0.04184
[#7][#6H1:1]=[#7][#8] 5 0.04450
[#7][#6:1](c)=[#7][#8] 3 0.03630
[#7][#6:1](C=[#8])=[#7][#8] 3 0.03630
[#7][#6:1]=[#7][#8] 4 0.04184
[SH][C:1][C] 2 0.03373
[#16][#6:1]=[#7][#8] 3 0.03630
[#6]([#8,#7])[#6H1:1]=[#7][#8] 4 0.04184
[#6H2]([#8,#7])[#6:1]=[#7][#8] 4 0.04184
[#6H1]([#8,#7])[#6:1]=[#7][#8] 3 0.03630
[#8]=[#6]([#8,#7])[#6:1]=[#7][#8] 3 0.03630
[#6]([#8,#7])[#6:1]=[#7][#8] 3 0.03630
[#6]=[#6][#6H1:1]=[#7][#8] 4 0.04184
[#6]=[#6][#6:1]=[#7][#8] 3 0.03630
[#6H1:1]=[#7][#8] 3 0.03630
[#8,#9]~[#6][#6:1]=[#7][#8] 3 0.03630
[#6:1]=[#7][#8] 3 0.03630
[#6][#6H1:1]=[#7] 3 0.03630
[#8,#7][#6H1:1]=[#7] 4 0.04184
[S][#6H1:1]=[#7] 3 0.03630
[#6H1:1]=[#7] 5 0.04450
[#6H2:1]=[#7][#6H2] 4 0.04184
[#6:1]=[#7][#6]=[#8] 3 0.03630
[#16]=[#6:1]=[#7] 3 0.03630
[#16][#6:1]([#8])=[#7] 3 0.03630
[#16][#6:1]=[#7] 4 0.04184
[#7]=[#6:1]=[#7] 4 0.04184
[#7,#8][#6:1]([#7,#8])=[#7] 4 0.04184
[#8]=[#6][#6][#6:1]([#6])=[#7] 3 0.03630
[#6][#6:1]([#6]F)=[#7] 4 0.04184
[#6][#6:1]([#6])=[#7] 3 0.03630
[#6H2:1]=[#7X2][#6H1] 4 0.04184
[#15][#6:1]=[#7] 5 0.04450
