[#6][n:1]([#6])[#6]	6	0.04788
[#6][#7:1]([#6]~[!#6&!#1])[#6]~[!#6&!#1]	6	0.04788
[#6H3][#7:1]([#6H3])[#6]=[#6]	6	0.04788
*#C[#7:1](C)C	6	0.04788
[C][#7:1]([CX4H0,CX3H1]([#6])[#6])[C]	6	0.04788
[#7+,c]=[CH1][#7:1]([C])[C]	6	0.04788
[#7+,c]=[C]([!#6&!#1])[#7:1]([C])[C]	7	0.05023
[#7+,c]=[C][#7:1]([C])C	7	0.05023
[CH3][#7:1](C)C	7	0.05023
C[#7:1](C)C	7	0.05023
[CH3][#7:1]([CH3])[#6]	6	0.04788
[CH3][#7:1]([#6])[#6]	7	0.05023
[#6][#7:1]([c])[c]	6	0.04788
[#7][#7][#7:1][s][#6]=*	7	0.05023
[#7][#7:1][s][#6]=*	7	0.05023
[#7][#7:1][S]	4	0.04109
[#7][#7:1][#16]	4	0.04109
[#7][#7H1X3:1][#7]	5	0.04337
[n][n:1][n]~[#8]	4	0.04109
[n][n:1][n]~[#16]	4	0.04109
[n][n:1][n][c][cH][c]	6	0.04788
[#7][N:1][#7]	3	0.03795
[#7][#7:1][#7]	5	0.04337
[A&!#6&!#1][nX3H0][nX2H0:1][#6]	3	0.03795
[A&!#1][nX3H0][nX2H0:1][cX3H0]s	4	0.04109
[A&!#1][nX3H0](c=O)[nX2H0:1][cX3H0](c)[N,O,F,Cl]	3	0.03795
[A&!#1][nX3H0][nX2H0:1][cX3H0][NH2,OH1]	6	0.04788
[A&!#1][nX3H0][nX2H0:1][cX3H0][N,O,F,Cl]	6	0.04788
[A&!#1][nX3H0][nX2H0:1][cX3H0][A&!#1]=[*]	7	0.05023
[A&!#1][nX3H0]([#6]=*)[nX2H0:1][cX3H0][A&!#1]	4	0.04109
[A&!#1][nX3H0][nX2H0:1][cX3H0][A&!#1]	6	0.04788
[A&!#1][nX3H0][nX2H0:1][#6][!#6&!#1]	4	0.04109
[A&!#1][nX3H0](c=*)[nX2H0:1][#6]	7	0.05023
[A&!#1][nX3H0][nX2H0:1][#6][#6]=*	4	0.04109
